Frontiers in Pediatrics, Life Sciences
Jurnal Ilmiah Perikanan dan Kelautan, Multidisciplinary
Bulletin of Biological and Allied Sciences Research, Life Sciences
Demokrasi Jurnal Riset Ilmu Hukum Sosial dan Politik, Multidisciplinary
Journal of Internet Services and Applications, Engineering & Technology
Biotechnology Reports, Engineering & Technology
Journal of Mathematical Imaging and Vision, Physical Sciences
Journal of the Brazilian Computer Society, Engineering & Technology
Mathematical Morphology - Theory and Applications, Physical Sciences
Frontiers in Communication, Social Sciences
Journal of Hunan University Natural Sciences, Multidisciplinary
Precambrian Research, Multidisciplinary
Journal of African Earth Sciences, Humanities
Mineralium Deposita, Multidisciplinary
Developmental Neuroscience, Life Sciences
Research in Cold and Arid Regions, Multidisciplinary
Journal of Modern Nanotechnology, Engineering & Technology
Food Hydrocolloids for Health, Life Sciences
International Journal of experimental research and review, Engineering & Technology
Journal of Applied Biology & Biotechnology, Engineering & Technology
Journal of Health Science and Medical Research, Life Sciences
Rheumatology Advances in Practice, Multidisciplinary
Annals of Lymphoma, Multidisciplinary
International Journal of Homoeopathic Sciences, Multidisciplinary
Nano Materials Science, Physical Sciences
Proceedings of the National Academy of Sciences of Belarus Chemical Series, Physical Sciences
The Open Chemical Engineering Journal, Engineering & Technology
Science & World, Multidisciplinary
International Journal of Scientific Research in Science Engineering and Technology, Engineering & Technology
Water SA, Multidisciplinary
Electronic Journal of Biotechnology, Engineering & Technology
Bangladesh Journal of Pharmacology, Life Sciences
Precision Clinical Medicine, Life Sciences
Revista da Sociedade Brasileira de Medicina Tropical, Multidisciplinary
Journal of Tropical Biodiversity and Biotechnology, Engineering & Technology
Journal of Community Empowerment for Health, Life Sciences
Jurnal Muara Sains Teknologi Kedokteran dan Ilmu Kesehatan, Engineering & Technology
MAHESA Malahayati Health Student Journal, Life Sciences
Avicenna Jurnal Ilmiah, Multidisciplinary
Jurnal PADE Pengabdian & Edukasi, Multidisciplinary
Environment Technology Resources Proceedings of the International Scientific and Practical Conference, Engineering & Technology
The Journal of Turkish Family Physician, Engineering & Technology
The Anatolian Journal of General Medical Research, Life Sciences
One Ecosystem, Multidisciplinary
Die Radiologie, Multidisciplinary
International Journal of Social Science & Entrepreneurship, Business & Economics
Magnetic Resonance, Multidisciplinary
Journal of Magnetic Resonance Open, Engineering & Technology
Hämostaseologie, Multidisciplinary
Acta Haematologica, Multidisciplinary
Global & Regional Health Technology Assessment, Engineering & Technology
Revista Hemostasia y Trombosis, Multidisciplinary
Asian Journal of Medical Humanities, Humanities
Statistics & Probability Letters, Engineering & Technology
Statistical Analysis and Data Mining The ASA Data Science Journal, Multidisciplinary
Discover Environment, Multidisciplinary
German Journal of Exercise and Sport Research, Engineering & Technology
Radiation Physics and Chemistry, Physical Sciences
Kathmandu University Medical Journal, Life Sciences
MOJ Ecology & Environmental Sciences, Life Sciences
Journal of Historical Archaeology & Anthropological Sciences, Multidisciplinary
The Lancet Obstetrics Gynaecology & Women s Health, Life Sciences
Health Information Science and Systems, Engineering & Technology
Journal of Oral and Maxillofacial Surgery Medicine and Pathology, Life Sciences
Journal of the Korean Association of Oral and Maxillofacial Surgeons, Engineering & Technology
Journal of Prosthodontic Research, Engineering & Technology
Japanese Journal of Oral & Maxillofacial Surgery, Engineering & Technology
Odontology, Multidisciplinary
Radiology Research and Practice, Multidisciplinary
Japanese Journal of Oral Diagnosis / Oral Medicine, Life Sciences
Journal of Advanced Simulation in Science and Engineering, Engineering & Technology
Annalen der Physik, Multidisciplinary
International Journal of Nanoelectronics and Materials (IJNeaM), Engineering & Technology
Cihan University-Erbil Scientific Journal, Multidisciplinary
Thamar University Journal of Natural & Applied Sciences, Multidisciplinary
Yemeni Journal of Agriculture & Veterinary Sciences, Life Sciences
Journal of Family and Community Medicine, Life Sciences
Accident Analysis & Prevention, Multidisciplinary
Frontiers in Neuroergonomics, Life Sciences
Human Factors The Journal of the Human Factors and Ergonomics Society, Engineering & Technology
Journal of Cycling and Micromobility Research, Engineering & Technology
Traffic Safety Research, Multidisciplinary
Cognition Technology & Work, Engineering & Technology
Powder Technology, Engineering & Technology
Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences, Engineering & Technology
American Journal of Men s Health, Life Sciences
Biochimie, Multidisciplinary
AUDIOLOGY JAPAN, Multidisciplinary
JAMA Ophthalmology, Multidisciplinary
Kampo Medicine, Life Sciences
Health Services Insights, Life Sciences
Hemoglobin, Multidisciplinary
BMJ Innovations, Multidisciplinary
Gene Therapy, Multidisciplinary
Psychology Health & Medicine, Social Sciences
Current Urology Reports, Multidisciplinary
European Journal of Development Studies, Social Sciences
Infectious Medicine, Life Sciences
Jendela Olahraga, Multidisciplinary
Jurnal Master Penjas & Olahraga, Multidisciplinary
Kinestetik Jurnal Ilmiah Pendidikan Jasmani, Multidisciplinary
Radiography, Multidisciplinary
Emergency Medicine Australasia, Life Sciences
Integrative Organismal Biology, Life Sciences
Wildlife Society Bulletin, Multidisciplinary
Journal of Insect Science, Multidisciplinary
International Journal of Applied Research, Engineering & Technology
Annals of Agricultural Sciences, Humanities
Die Anaesthesiologie, Multidisciplinary
International Journal of Pediatric Otorhinolaryngology, Engineering & Technology
Chemical & Biomedical Imaging, Physical Sciences
Journal of Computer Science, Engineering & Technology
International Journal of Advances in Artificial Intelligence and Machine Learning, Humanities
Paddy and Water Environment, Multidisciplinary
Babylonian Journal of Machine Learning, Engineering & Technology
Mesopotamian Journal of Big Data, Engineering & Technology
Nature Reviews Neurology, Life Sciences
Cephalalgia, Multidisciplinary
Sao Paulo Medical Journal, Life Sciences
Acta Neuropsychiatrica, Life Sciences
Asian Journal on Addictions, Multidisciplinary
Future Batteries, Multidisciplinary
Chip, Multidisciplinary
Atmospheric and Oceanic Optics, Physical Sciences
The Photogrammetric Record, Multidisciplinary
Journal of British Studies, Engineering & Technology
Continuity and Change, Multidisciplinary
The Journal of Economic Inequality, Business & Economics
Pharmacology Biochemistry and Behavior, Physical Sciences
American Journal of Physical Anthropology, Social Sciences
International Journal of Osteoarchaeology, Engineering & Technology
International Journal of Paleopathology, Life Sciences
Toxicological Research, Multidisciplinary
Journal of Transcatheter Valve Therapies, Engineering & Technology
Media and Communication, Social Sciences
South African Journal of Childhood Education, Social Sciences
South African Journal of Economic and Management Sciences, Business & Economics
Neurochemistry International, Physical Sciences
Symbiosis, Multidisciplinary
Journal of Lipid Nutrition, Life Sciences
Traffic, Multidisciplinary
Immunometabolism, Multidisciplinary
Brain Disorders, Engineering & Technology
Innovative Biosystems and Bioengineering, Engineering & Technology
Remote Sensing in Earth Systems Sciences, Humanities
Mediterranean Journal of Infection Microbes and Antimicrobials, Engineering & Technology
The EuroBiotech Journal, Multidisciplinary
Medicine Science | International Medical Journal, Life Sciences
Photonic Sensors, Multidisciplinary
European Journal of Combinatorics, Engineering & Technology
Journal of Graph Theory, Engineering & Technology
Journal of Combinatorial Theory Series B, Engineering & Technology
The Electronic Journal of Combinatorics, Engineering & Technology
Journal of Minimal Access Surgery, Engineering & Technology
Journal of Endocrine Surgery, Engineering & Technology
Journal of Information System and Technology Management, Business & Economics
Al-Khwarizmi Engineering Journal, Engineering & Technology
Diyala Journal of Engineering Sciences, Engineering & Technology
Journal of Design and Built Environment, Engineering & Technology
International Journal of Modern Education, Social Sciences
American Journal on Addictions, Multidisciplinary
Journal of Behavioral Medicine, Life Sciences
Materials Reports Energy, Physical Sciences
Composites Communications, Social Sciences
Journal of the Peripheral Nervous System, Engineering & Technology
Physiology & Behavior, Life Sciences
Anales de la Real Academia Nacional de Farmacia, Multidisciplinary
International Journal of Human-Computer Studies, Engineering & Technology
Local and Regional Anesthesia, Multidisciplinary
Korean journal of anesthesiology, Engineering & Technology
FlatChem, Multidisciplinary
Journal of Energy and Safety Technology (JEST), Engineering & Technology
Journal of Interventional Epidemiology and Public Health, Life Sciences
Tuberculosis Research and Treatment, Multidisciplinary
Journal of BP Koirala Institute of Health Sciences, Life Sciences
Nepal Mediciti Medical Journal, Life Sciences
Nepalese Heart Journal, Humanities
Case Reports in Vascular Medicine, Life Sciences
Journal of Global Infectious Diseases, Engineering & Technology
Health Economics Review, Business & Economics
Arquivos Brasileiros de Cardiologia, Multidisciplinary
Visual Computing for Industry Biomedicine and Art, Humanities
MAIRAJ, Engineering & Technology
Journal of Medicine Surgery and Public Health, Life Sciences
NUST Journal of Social Sciences and Humannities, Social Sciences
East African Journal of Agriculture and Biotechnology, Engineering & Technology
Pakistan Postgraduate Medical Journal, Life Sciences
Journal of Rehabilitation and Assistive Technologies Engineering, Engineering & Technology
Case Reports in Orthopedics, Multidisciplinary
Journal of Vestibular Research, Engineering & Technology
International Journal of Arrhythmia, Engineering & Technology
Nano Convergence, Multidisciplinary
The Journal of Technology Transfer, Engineering & Technology
International Entrepreneurship and Management Journal, Business & Economics
Research Policy, Social Sciences
British Journal of Management, Business & Economics
Eurasian Economic Review, Business & Economics
Archivos de Bronconeumología, Multidisciplinary
Insights the UKSG journal, Multidisciplinary
Sri Lanka Journal of Medicine, Life Sciences
Anuradhapura Medical Journal, Life Sciences
Evolutionary Bioinformatics, Engineering & Technology
Journal of the College of Community Physicians of Sri Lanka, Engineering & Technology
Belitung Nursing Journal, Multidisciplinary
The Journal of Thailand Nursing and Midwifery Council, Engineering & Technology
Drug Target Insights, Multidisciplinary
Journal of Circulating Biomarkers, Engineering & Technology
Journal of AOAC International, Engineering & Technology
International Journal of Intelligent Networks, Engineering & Technology
Energy Economics, Business & Economics
Energy and Climate Change, Physical Sciences
Journalistica - Tidsskrift for forskning i journalistik, Multidisciplinary
Jurnal Rekayasa Sipil dan Desain, Engineering & Technology
Journal of Sustainability Science and Technology, Engineering & Technology
Journal of Engineering and Scientific Research, Engineering & Technology
Dampak, Multidisciplinary
International Journal of Advances in Applied Sciences, Multidisciplinary
